Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH2
-1.005e-01,-0.0128418
-1.003e-01,-0.0100586
-1.002e-01,-0.00271484
-1.000e-01,-0.0134082
-9.984e-02,-0.0106641
-9.968e-02,-0.0133203
-9.952e-02,-0.00220703
-9.936e-02,-0.0108496
-9.920e-02,-0.00466797
-9.904e-02,-0.00555664
-9.888e-02,-0.00944336
-9.872e-02,-0.00921875
-9.856e-02,-0.00475586
-9.840e-02,-0.00415039
-9.824e-02,-0.00636719
-9.808e-02,-0.00375977
-9.792e-02,-0.00561523
-9.776e-02,-4.88281e-05
-9.760e-02,0.00125
-9.744e-02,0
-9.728e-02,0.00260742
-9.712e-02,-0.00304688
-9.696e-02,-0.00232422
-9.680e-02,-0.00350586
-9.664e-02,0.00363281
-9.648e-02,0.00270508
-9.632e-02,0.00368164
-9.616e-02,-0.00142578
-9.600e-02,0.00375977
-9.584e-02,0.00560547
-9.568e-02,0.00207031
-9.552e-02,0.00129883
-9.536e-02,0.000380859
-9.520e-02,0.00883789
-9.504e-02,0.0115234
-9.488e-02,0.00951172
-9.472e-02,0.00685547
-9.456e-02,0.0022168
-9.440e-02,0.00302734
-9.424e-02,0.00137695
-9.408e-02,0.00822266
-9.392e-02,0.00469727
-9.376e-02,0.00926758
-9.360e-02,0.00829102
-9.344e-02,0.00895508
-9.328e-02,0.00601563
-9.312e-02,0.0062793
-9.296e-02,0.00456055
-9.280e-02,0.0126563
-9.264e-02,0.00573242
-9.248e-02,0.0121875
-9.232e-02,0.00775391
-9.216e-02,0.00603516
-9.200e-02,0.0133691
-9.184e-02,0.0146094
-9.168e-02,0.014707
-9.152e-02,0.0128418
-9.136e-02,0.00891602
-9.120e-02,0.0128418
-9.104e-02,0.011543
-9.088e-02,0.00727539
-9.072e-02,0.0111035
-9.056e-02,0.0160449
-9.040e-02,0.0179395
-9.024e-02,0.0156934
-9.008e-02,0.0119531
-8.992e-02,0.0200488
-8.976e-02,0.0187988
-8.960e-02,0.0172266
-8.944e-02,0.0127051
-8.928e-02,0.0184863
-8.912e-02,0.0169922
-8.896e-02,0.0125
-8.880e-02,0.0131543
-8.864e-02,0.0148633
-8.848e-02,0.013623
-8.832e-02,0.0163867
-8.816e-02,0.0146387
-8.800e-02,0.0137793
-8.784e-02,0.017832
-8.768e-02,0.0146973
-8.752e-02,0.0164648
-8.736e-02,0.0179297
-8.720e-02,0.0138281
-8.704e-02,0.0196094
-8.688e-02,0.0197852
-8.672e-02,0.0138379
-8.656e-02,0.0228711
-8.640e-02,0.0145508
-8.624e-02,0.0125293
-8.608e-02,0.0183398
-8.592e-02,0.0173145
-8.576e-02,0.0147656
-8.560e-02,0.0171289
-8.544e-02,0.0190234
-8.528e-02,0.0191992
-8.512e-02,0.0182324
-8.496e-02,0.017041
-8.480e-02,0.0220996
-8.464e-02,0.0198145
-8.448e-02,0.0169434
-8.432e-02,0.0191699
-8.416e-02,0.0170605
-8.400e-02,0.0195313
-8.384e-02,0.018252
-8.368e-02,0.0210059
-8.352e-02,0.0161523
-8.336e-02,0.0212695
-8.320e-02,0.0230762
-8.304e-02,0.0195117
-8.288e-02,0.0279492
-8.272e-02,0.0201074
-8.256e-02,0.0184473
-8.240e-02,0.0222949
-8.224e-02,0.0252734
-8.208e-02,0.0194629
-8.192e-02,0.022832
-8.176e-02,0.0209473
-8.160e-02,0.0222852
-8.144e-02,0.021748
-8.128e-02,0.0247852
-8.112e-02,0.0220215
-8.096e-02,0.0226367
-8.080e-02,0.0204492
-8.064e-02,0.0229883
-8.048e-02,0.0245801
-8.032e-02,0.0213965
-8.016e-02,0.0130371
-8.000e-02,0.0220215
-7.984e-02,0.024082
-7.968e-02,0.0196875
-7.952e-02,0.0207813
-7.936e-02,0.025
-7.920e-02,0.0177832
-7.904e-02,0.0204199
-7.888e-02,0.0233691
-7.872e-02,0.018457
-7.856e-02,0.0221973
-7.840e-02,0.0258691
-7.824e-02,0.0183105
-7.808e-02,0.0229297
-7.792e-02,0.0176172
-7.776e-02,0.0199414
-7.760e-02,0.0146973
-7.744e-02,0.0180469
-7.728e-02,0.0244238
-7.712e-02,0.0222266
-7.696e-02,0.0132422
-7.680e-02,0.0219531
-7.664e-02,0.0192578
-7.648e-02,0.0150195
-7.632e-02,0.0174219
-7.616e-02,0.0179004
-7.600e-02,0.0186914
-7.584e-02,0.0193359
-7.568e-02,0.0209375
-7.552e-02,0.0199023
-7.536e-02,0.0188281
-7.520e-02,0.0172656
-7.504e-02,0.0208496
-7.488e-02,0.0199023
-7.472e-02,0.0206543
-7.456e-02,0.0203125
-7.440e-02,0.0184375
-7.424e-02,0.017002
-7.408e-02,0.0106738
-7.392e-02,0.0135449
-7.376e-02,0.0126953
-7.360e-02,0.0194434
-7.344e-02,0.0152441
-7.328e-02,0.0147363
-7.312e-02,0.0208105
-7.296e-02,0.0189844
-7.280e-02,0.0183691
-7.264e-02,0.0164258
-7.248e-02,0.0133887
-7.232e-02,0.0186523
-7.216e-02,0.0151074
-7.200e-02,0.015957
-7.184e-02,0.0195801
-7.168e-02,0.0191211
-7.152e-02,0.0152832
-7.136e-02,0.0150977
-7.120e-02,0.0177832
-7.104e-02,0.0140137
-7.088e-02,0.0190527
-7.072e-02,0.0104004
-7.056e-02,0.0178027
-7.040e-02,0.0159277
-7.024e-02,0.0155566
-7.008e-02,0.0158008
-6.992e-02,0.0110059
-6.976e-02,0.0144531
-6.960e-02,0.0150781
-6.944e-02,0.0124512
-6.928e-02,0.0180566
-6.912e-02,0.0138184
-6.896e-02,0.0129785
-6.880e-02,0.014873
-6.864e-02,0.0131738
-6.848e-02,0.0169629
-6.832e-02,0.0121973
-6.816e-02,0.0101758
-6.800e-02,0.0094043
-6.784e-02,0.0133594
-6.768e-02,0.0131348
-6.752e-02,0.0102539
-6.736e-02,0.00836914
-6.720e-02,0.013291
-6.704e-02,0.0136621
-6.688e-02,0.0122559
-6.672e-02,0.00660156
-6.656e-02,0.0122363
-6.640e-02,0.0112012
-6.624e-02,0.0143457
-6.608e-02,0.0152441
-6.592e-02,0.0134863
-6.576e-02,0.0126172
-6.560e-02,0.0129883
-6.544e-02,0.014873
-6.528e-02,0.0106641
-6.512e-02,0.01
-6.496e-02,0.0100781
-6.480e-02,0.00954102
-6.464e-02,0.013584
-6.448e-02,0.0071875
-6.432e-02,0.00990234
-6.416e-02,0.00967773
-6.400e-02,0.00925781
-6.384e-02,0.00862305
-6.368e-02,0.00428711
-6.352e-02,0.00566406
-6.336e-02,0.0040918
-6.320e-02,0.00972656
-6.304e-02,0.00583984
-6.288e-02,-0.000410156
-6.272e-02,0.00956055
-6.256e-02,0.00775391
-6.240e-02,0.000107422
-6.224e-02,-0.00123047
-6.208e-02,-0.00217773
-6.192e-02,-0.00240234
-6.176e-02,0.00327148
-6.160e-02,-0.000185547
-6.144e-02,0.00643555
-6.128e-02,0.00239258
-6.112e-02,0.0018457
-6.096e-02,0.00742188
-6.080e-02,0.00139648
-6.064e-02,0.00131836
-6.048e-02,0.00419922
-6.032e-02,0.00225586
-6.016e-02,0.00232422
-6.000e-02,-0.000917969
-5.984e-02,-0.00234375
-5.968e-02,0.00313477
-5.952e-02,0.00363281
-5.936e-02,0.00234375
-5.920e-02,0.00255859
-5.904e-02,0.00287109
-5.888e-02,0.0111523
-5.872e-02,0.00393555
-5.856e-02,0.00532227
-5.840e-02,0.00910156
-5.824e-02,0.00301758
-5.808e-02,0.00320313
-5.792e-02,0.000986328
-5.776e-02,0.000898438
-5.760e-02,0.000996094
-5.744e-02,0.00410156
-5.728e-02,0.00211914
-5.712e-02,0.00542969
-5.696e-02,0.00804688
-5.680e-02,0.00520508
-5.664e-02,0.00887695
-5.648e-02,0.00662109
-5.632e-02,0.00265625
-5.616e-02,0.00474609
-5.600e-02,0.000332031
-5.584e-02,0.000224609
-5.568e-02,0.00317383
-5.552e-02,0.00107422
-5.536e-02,0.00595703
-5.520e-02,0.00582031
-5.504e-02,0.00743164
-5.488e-02,0.00632813
-5.472e-02,0.0101563
-5.456e-02,0.00339844
-5.440e-02,0.0102637
-5.424e-02,0.00432617
-5.408e-02,0.00111328
-5.392e-02,-0.00214844
-5.376e-02,0.000146484
-5.360e-02,0.000136719
-5.344e-02,-0.00241211
-5.328e-02,0.000976563
-5.312e-02,-0.00211914
-5.296e-02,0.0012207
-5.280e-02,-0.00142578
-5.264e-02,0.00470703
-5.248e-02,0.00175781
-5.232e-02,0.000947266
-5.216e-02,0.00174805
-5.200e-02,0.00237305
-5.184e-02,-0.00241211
-5.168e-02,-0.00542969
-5.152e-02,-0.00428711
-5.136e-02,7.8125e-05
-5.120e-02,-0.00125977
-5.104e-02,-0.00169922
-5.088e-02,-0.00417969
-5.072e-02,-0.00295898
-5.056e-02,0.00104492
-5.040e-02,0.0015332
-5.024e-02,-0.00494141
-5.008e-02,0.00588867
-4.992e-02,-3.90625e-05
-4.976e-02,0.00538086
-4.960e-02,0.00326172
-4.944e-02,0.0046875
-4.928e-02,0.000908203
-4.912e-02,-0.00116211
-4.896e-02,-0.00250977
-4.880e-02,0.00612305
-4.864e-02,0.0012793
-4.848e-02,0.00331055
-4.832e-02,0.00332031
-4.816e-02,0.00469727
-4.800e-02,0.00980469
-4.784e-02,0.00237305
-4.768e-02,0.00900391
-4.752e-02,0.00514648
-4.736e-02,0.0080957
-4.720e-02,0.0121387
-4.704e-02,0.00369141
-4.688e-02,0.00467773
-4.672e-02,0.00589844
-4.656e-02,0.0130176
-4.640e-02,0.00917969
-4.624e-02,0.0108594
-4.608e-02,0.0130273
-4.592e-02,0.00996094
-4.576e-02,0.0126563
-4.560e-02,0.0110352
-4.544e-02,0.0123242
-4.528e-02,0.0136328
-4.512e-02,0.0128906
-4.496e-02,0.00833984
-4.480e-02,0.0124707
-4.464e-02,0.011123
-4.448e-02,0.010332
-4.432e-02,0.0142285
-4.416e-02,0.013623
-4.400e-02,0.0151367
-4.384e-02,0.0129785
-4.368e-02,0.0128711
-4.352e-02,0.0126465
-4.336e-02,0.0139551
-4.320e-02,0.0107227
-4.304e-02,0.0100391
-4.288e-02,0.0144043
-4.272e-02,0.00767578
-4.256e-02,0.0116504
-4.240e-02,0.0128613
-4.224e-02,0.0106934
-4.208e-02,0.00665039
-4.192e-02,0.00811523
-4.176e-02,0.00111328
-4.160e-02,0.00847656
-4.144e-02,0.00639648
-4.128e-02,0.0123633
-4.112e-02,0.00533203
-4.096e-02,0.0056543
-4.080e-02,0.000644531
-4.064e-02,0.0139941
-4.048e-02,0.0134473
-4.032e-02,0.00732422
-4.016e-02,0.0143848
-4.000e-02,0.0120605
-3.984e-02,0.00720703
-3.968e-02,0.00767578
-3.952e-02,0.00551758
-3.936e-02,0.00571289
-3.920e-02,0.00879883
-3.904e-02,0.0101855
-3.888e-02,0.0133789
-3.872e-02,0.0130078
-3.856e-02,0.0084668
-3.840e-02,0.0111133
-3.824e-02,0.00947266
-3.808e-02,0.0112695
-3.792e-02,0.011582
-3.776e-02,0.00811523
-3.760e-02,0.00774414
-3.744e-02,0.012334
-3.728e-02,0.00912109
-3.712e-02,0.010459
-3.696e-02,0.0131543
-3.680e-02,0.0148535
-3.664e-02,0.0105859
-3.648e-02,0.0146094
-3.632e-02,0.0090625
-3.616e-02,0.0100293
-3.600e-02,0.0175684
-3.584e-02,0.011123
-3.568e-02,0.0161426
-3.552e-02,0.0170996
-3.536e-02,0.0215625
-3.520e-02,0.00942383
-3.504e-02,0.00922852
-3.488e-02,0.0100977
-3.472e-02,0.00999023
-3.456e-02,0.00724609
-3.440e-02,0.0140039
-3.424e-02,0.00957031
-3.408e-02,0.00699219
-3.392e-02,0.00797852
-3.376e-02,0.00765625
-3.360e-02,0.0111719
-3.344e-02,0.0077832
-3.328e-02,0.0106152
-3.312e-02,0.00425781
-3.296e-02,0.00672852
-3.280e-02,0.0100391
-3.264e-02,0.0133105
-3.248e-02,0.0106445
-3.232e-02,0.00817383
-3.216e-02,0.0134473
-3.200e-02,0.0135156
-3.184e-02,0.0133691
-3.168e-02,0.00961914
-3.152e-02,0.0125488
-3.136e-02,0.00992188
-3.120e-02,0.0110547
-3.104e-02,0.00563477
-3.088e-02,0.00944336
-3.072e-02,0.0106641
-3.056e-02,0.0137695
-3.040e-02,0.0137305
-3.024e-02,0.0164453
-3.008e-02,0.00577148
-2.992e-02,0.00831055
-2.976e-02,0.0121094
-2.960e-02,0.0100195
-2.944e-02,0.0125684
-2.928e-02,0.00538086
-2.912e-02,0.00304688
-2.896e-02,0.0124121
-2.880e-02,0.00890625
-2.864e-02,0.00786133
-2.848e-02,0.0101953
-2.832e-02,0.00924805
-2.816e-02,0.0104883
-2.800e-02,0.0101953
-2.784e-02,0.011582
-2.768e-02,0.0144434
-2.752e-02,0.0107129
-2.736e-02,0.00889648
-2.720e-02,0.00943359
-2.704e-02,0.0084668
-2.688e-02,0.0114844
-2.672e-02,0.00857422
-2.656e-02,0.010127
-2.640e-02,0.0156543
-2.624e-02,0.00977539
-2.608e-02,0.0106641
-2.592e-02,0.0108789
-2.576e-02,0.0126563
-2.560e-02,0.00850586
-2.544e-02,0.00907227
-2.528e-02,0.00757813
-2.512e-02,0.010957
-2.496e-02,0.0127051
-2.480e-02,0.0163086
-2.464e-02,0.0114355
-2.448e-02,0.0149316
-2.432e-02,0.0112305
-2.416e-02,0.0108398
-2.400e-02,0.0143164
-2.384e-02,0.0090332
-2.368e-02,0.0186914
-2.352e-02,0.00819336
-2.336e-02,0.00507813
-2.320e-02,0.00175781
-2.304e-02,0.00432617
-2.288e-02,0.000400391
-2.272e-02,0.00168945
-2.256e-02,-0.00148438
-2.240e-02,0.000117188
-2.224e-02,0.00407227
-2.208e-02,0.00266602
-2.192e-02,-0.0024707
-2.176e-02,0.00138672
-2.160e-02,0.00308594
-2.144e-02,0.00174805
-2.128e-02,0.00391602
-2.112e-02,0.00399414
-2.096e-02,0.00201172
-2.080e-02,0.00279297
-2.064e-02,0.00223633
-2.048e-02,-0.000429688
-2.032e-02,0.00321289
-2.016e-02,0.00436523
-2.000e-02,0.00549805
-1.984e-02,0.00598633
-1.968e-02,0.00237305
-1.952e-02,0.0024707
-1.936e-02,0.00553711
-1.920e-02,0.00015625
-1.904e-02,0.00608398
-1.888e-02,-0.00107422
-1.872e-02,0.00610352
-1.856e-02,0.00763672
-1.840e-02,0.00499023
-1.824e-02,0.00322266
-1.808e-02,0.00516602
-1.792e-02,0.00574219
-1.776e-02,0.00448242
-1.760e-02,0.000810547
-1.744e-02,0.008125
-1.728e-02,0.00483398
-1.712e-02,1.95313e-05
-1.696e-02,0.00485352
-1.680e-02,0.0111328
-1.664e-02,0.00860352
-1.648e-02,0.010498
-1.632e-02,0.00266602
-1.616e-02,0.00401367
