Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH2
-1.338e-01,0.025
-1.336e-01,0.0240527
-1.334e-01,0.0334668
-1.333e-01,0.0222559
-1.331e-01,0.0250684
-1.330e-01,0.0388672
-1.328e-01,0.0231934
-1.326e-01,0.0242383
-1.325e-01,0.0198438
-1.323e-01,0.0128711
-1.322e-01,0.0330859
-1.320e-01,0.0177539
-1.318e-01,0.0152637
-1.317e-01,0.0139648
-1.315e-01,0.0294141
-1.314e-01,0.0294629
-1.312e-01,0.0216602
-1.310e-01,0.0174707
-1.309e-01,0.0127344
-1.307e-01,0.0146582
-1.306e-01,0.0116895
-1.304e-01,0.0111719
-1.302e-01,0.0146875
-1.301e-01,0.0278418
-1.299e-01,0.0134961
-1.298e-01,0.0157227
-1.296e-01,0.00834961
-1.294e-01,0.00870117
-1.293e-01,0.0204785
-1.291e-01,0.0274805
-1.290e-01,0.017041
-1.288e-01,0.0100879
-1.286e-01,-0.00169922
-1.285e-01,0.0179004
-1.283e-01,0.0295605
-1.282e-01,0.00892578
-1.280e-01,0.00337891
-1.278e-01,0.008125
-1.277e-01,0.0325977
-1.275e-01,-0.00110352
-1.274e-01,-0.00150391
-1.272e-01,0.00046875
-1.270e-01,0.00474609
-1.269e-01,0.00856445
-1.267e-01,-0.0138281
-1.266e-01,-0.00834961
-1.264e-01,0.00149414
-1.262e-01,0.0106934
-1.261e-01,0.00874023
-1.259e-01,-0.00170898
-1.258e-01,0.00799805
-1.256e-01,-0.000361328
-1.254e-01,0.00527344
-1.253e-01,0.00732422
-1.251e-01,-0.00314453
-1.250e-01,-0.000371094
-1.248e-01,-0.0134863
-1.246e-01,-0.0136133
-1.245e-01,0.00665039
-1.243e-01,-0.0144629
-1.242e-01,-0.0192969
-1.240e-01,-0.0105273
-1.238e-01,-0.0211816
-1.237e-01,-0.00738281
-1.235e-01,-0.0177051
-1.234e-01,-0.00798828
-1.232e-01,0.00289063
-1.230e-01,-0.00249023
-1.229e-01,-0.00460938
-1.227e-01,-0.0149023
-1.226e-01,-0.017041
-1.224e-01,-0.0340918
-1.222e-01,-0.0191113
-1.221e-01,-0.0113574
-1.219e-01,-0.0281348
-1.218e-01,-0.0313281
-1.216e-01,-0.0394922
-1.214e-01,-0.025957
-1.213e-01,-0.0201465
-1.211e-01,-0.0139844
-1.210e-01,-0.0373145
-1.208e-01,-0.0234766
-1.206e-01,-0.0331152
-1.205e-01,-0.0276367
-1.203e-01,-0.036875
-1.202e-01,-0.0324902
-1.200e-01,-0.0241016
-1.198e-01,-0.0306836
-1.197e-01,-0.0403516
-1.195e-01,-0.0413965
-1.194e-01,-0.0368555
-1.192e-01,-0.0520508
-1.190e-01,-0.0275684
-1.189e-01,-0.0393652
-1.187e-01,-0.0471484
-1.186e-01,-0.0587793
-1.184e-01,-0.0554785
-1.182e-01,-0.0478906
-1.181e-01,-0.0524414
-1.179e-01,-0.0555762
-1.178e-01,-0.0582129
-1.176e-01,-0.0560254
-1.174e-01,-0.0764453
-1.173e-01,-0.060459
-1.171e-01,-0.0701855
-1.170e-01,-0.0745215
-1.168e-01,-0.0757227
-1.166e-01,-0.0692383
-1.165e-01,-0.0553906
-1.163e-01,-0.0754492
-1.162e-01,-0.0793164
-1.160e-01,-0.0745996
-1.158e-01,-0.0616406
-1.157e-01,-0.0676563
-1.155e-01,-0.0684961
-1.154e-01,-0.0687598
-1.152e-01,-0.0746484
-1.150e-01,-0.0869727
-1.149e-01,-0.0953711
-1.147e-01,-0.0691113
-1.146e-01,-0.0893652
-1.144e-01,-0.104414
-1.142e-01,-0.0830859
-1.141e-01,-0.0781152
-1.139e-01,-0.0821582
-1.138e-01,-0.0933691
-1.136e-01,-0.0745801
-1.134e-01,-0.100137
-1.133e-01,-0.0812012
-1.131e-01,-0.0924609
-1.130e-01,-0.0862891
-1.128e-01,-0.0811523
-1.126e-01,-0.101396
-1.125e-01,-0.0840234
-1.123e-01,-0.102627
-1.122e-01,-0.0749316
-1.120e-01,-0.0766797
-1.118e-01,-0.0750977
-1.117e-01,-0.0877832
-1.115e-01,-0.0949414
-1.114e-01,-0.0882422
-1.112e-01,-0.0852246
-1.110e-01,-0.0990527
-1.109e-01,-0.0841309
-1.107e-01,-0.0741211
-1.106e-01,-0.0758984
-1.104e-01,-0.0915625
-1.102e-01,-0.0777246
-1.101e-01,-0.0550195
-1.099e-01,-0.0776953
-1.098e-01,-0.0712695
-1.096e-01,-0.0728125
-1.094e-01,-0.0802246
-1.093e-01,-0.0846094
-1.091e-01,-0.0920313
-1.090e-01,-0.0705078
-1.088e-01,-0.0686328
-1.086e-01,-0.0578906
-1.085e-01,-0.0611426
-1.083e-01,-0.0718262
-1.082e-01,-0.0379395
-1.080e-01,-0.0510156
