Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH2
-1.338e-01,0.0178223
-1.336e-01,0.0161621
-1.334e-01,0.0160156
-1.333e-01,0.021543
-1.331e-01,0.0175391
-1.330e-01,0.017832
-1.328e-01,0.023252
-1.326e-01,0.014873
-1.325e-01,0.0190137
-1.323e-01,0.0196094
-1.322e-01,0.0138867
-1.320e-01,0.0197949
-1.318e-01,0.0234961
-1.317e-01,0.0221582
-1.315e-01,0.021123
-1.314e-01,0.0200293
-1.312e-01,0.0207715
-1.310e-01,0.0246973
-1.309e-01,0.0181934
-1.307e-01,0.0233984
-1.306e-01,0.025625
-1.304e-01,0.0180176
-1.302e-01,0.0240918
-1.301e-01,0.0235938
-1.299e-01,0.0187402
-1.298e-01,0.0170605
-1.296e-01,0.0228125
-1.294e-01,0.0234473
-1.293e-01,0.0264941
-1.291e-01,0.0233398
-1.290e-01,0.0240723
-1.288e-01,0.026582
-1.286e-01,0.0303711
-1.285e-01,0.0276465
-1.283e-01,0.0216797
-1.282e-01,0.0333789
-1.280e-01,0.0267383
-1.278e-01,0.024834
-1.277e-01,0.0291016
-1.275e-01,0.0213477
-1.274e-01,0.0258398
-1.272e-01,0.019248
-1.270e-01,0.027334
-1.269e-01,0.0235938
-1.267e-01,0.022334
-1.266e-01,0.0231738
-1.264e-01,0.0262305
-1.262e-01,0.0261328
-1.261e-01,0.0264355
-1.259e-01,0.0315137
-1.258e-01,0.0203125
-1.256e-01,0.027666
-1.254e-01,0.0258691
-1.253e-01,0.0243262
-1.251e-01,0.0257031
-1.250e-01,0.0253418
-1.248e-01,0.0293164
-1.246e-01,0.0330176
-1.245e-01,0.0260254
-1.243e-01,0.0226465
-1.242e-01,0.0239648
-1.240e-01,0.0274316
-1.238e-01,0.0263672
-1.237e-01,0.0333203
-1.235e-01,0.0253027
-1.234e-01,0.0294824
-1.232e-01,0.0286816
-1.230e-01,0.0281152
-1.229e-01,0.0322168
-1.227e-01,0.0269531
-1.226e-01,0.0294336
-1.224e-01,0.023877
-1.222e-01,0.0287012
-1.221e-01,0.0305859
-1.219e-01,0.0249902
-1.218e-01,0.0317383
-1.216e-01,0.0326367
-1.214e-01,0.030293
-1.213e-01,0.0272949
-1.211e-01,0.0278906
-1.210e-01,0.0352637
-1.208e-01,0.0275293
-1.206e-01,0.031709
-1.205e-01,0.0335156
-1.203e-01,0.0238672
-1.202e-01,0.0288281
-1.200e-01,0.0274902
-1.198e-01,0.0302344
-1.197e-01,0.0324316
-1.195e-01,0.032793
-1.194e-01,0.034668
-1.192e-01,0.0287793
-1.190e-01,0.03125
-1.189e-01,0.0289258
-1.187e-01,0.0300586
-1.186e-01,0.0311621
-1.184e-01,0.0285742
-1.182e-01,0.0336328
-1.181e-01,0.0287109
-1.179e-01,0.0279004
-1.178e-01,0.0350195
-1.176e-01,0.0308594
-1.174e-01,0.0303613
-1.173e-01,0.0255957
-1.171e-01,0.0287305
-1.170e-01,0.0279297
-1.168e-01,0.029873
-1.166e-01,0.0313086
-1.165e-01,0.0337305
-1.163e-01,0.0342773
-1.162e-01,0.0288281
-1.160e-01,0.0272656
-1.158e-01,0.0358203
-1.157e-01,0.0273926
-1.155e-01,0.0276172
-1.154e-01,0.0264453
-1.152e-01,0.0289746
-1.150e-01,0.0301855
-1.149e-01,0.0234668
-1.147e-01,0.0320508
-1.146e-01,0.0280566
-1.144e-01,0.0269727
-1.142e-01,0.0264746
-1.141e-01,0.033418
-1.139e-01,0.0328809
-1.138e-01,0.0252441
-1.136e-01,0.0300684
-1.134e-01,0.0255664
-1.133e-01,0.032998
-1.131e-01,0.0241309
-1.130e-01,0.0269434
-1.128e-01,0.0272852
-1.126e-01,0.0250098
-1.125e-01,0.0312891
-1.123e-01,0.0239844
-1.122e-01,0.0297168
-1.120e-01,0.0223828
-1.118e-01,0.0308105
-1.117e-01,0.0257617
-1.115e-01,0.034043
-1.114e-01,0.0280957
-1.112e-01,0.0287402
-1.110e-01,0.0275098
-1.109e-01,0.0295605
-1.107e-01,0.0243262
-1.106e-01,0.0278516
-1.104e-01,0.0282715
-1.102e-01,0.0218359
-1.101e-01,0.0317773
-1.099e-01,0.0309668
-1.098e-01,0.028252
-1.096e-01,0.0318066
-1.094e-01,0.0289844
-1.093e-01,0.0309863
-1.091e-01,0.0230762
-1.090e-01,0.0246777
-1.088e-01,0.026377
-1.086e-01,0.0244043
-1.085e-01,0.0324121
-1.083e-01,0.0220605
-1.082e-01,0.0240625
-1.080e-01,0.0279688
-1.078e-01,0.0306738
-1.077e-01,0.0273535
-1.075e-01,0.0242969
-1.074e-01,0.0306055
-1.072e-01,0.0281348
-1.070e-01,0.0178711
-1.069e-01,0.0275684
-1.067e-01,0.0285352
-1.066e-01,0.0277246
-1.064e-01,0.020459
